Phylum	Class	Order	Family	Genus	Sample Size	Min COG %	Max COG %	Average Genome Size	Min Genome Size	Max Genome Size	Average Gene Count	Average Genes in COG	Average CRISPRs	Slope	Intercept	R squared	p-value	Standard Error
Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	45	34.77	70.97	1379662.1333333333	1136981	1772213	1247.2444444444445	53.79733333333335	0.15555555555555556	-0.6616993561734142	105.31041586706408	0.5444956382191253	7.320305971218126e-09	0.09229444269594951
Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	68	54.1	81.63	2370472.2647058824	1726588	3484799	2448.6470588235293	70.34720588235295	0.8970588235294118	-0.12713910842355003	78.99561660209487	0.03762915318990501	0.1129528152842605	0.07914367278177564
Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aurantimonas	13	70.69	80.61	4497028.923076923	3726363	5041052	4272.0	75.71923076923075	0.23076923076923078	0.1651002345499889	60.99094528481035	0.09711733531991447	0.2999646949281543	0.15178142506816902
Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	22	70.01	81.2	4773016.5	4090174	5438231	4535.863636363636	74.06363636363636	0.2727272727272727	-0.26800066911859205	97.5854693956293	0.37054898075024284	0.0026434603679529275	0.07810503647683742
Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Avibacterium	14	61.26	84.04	2535897.5	2256796	2869246	2701.5714285714284	74.72	0.5	-0.6112797141186056	128.7461343514668	0.3294347337473411	0.03184669728986617	0.2517591097784259
Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	10	68.23	83.33	4864711.1	3908237	5818755	4518.5	73.84700000000001	2.1	-0.042790614315657984	77.42446590872447	0.006095993963792329	0.8302442493441569	0.19317614019722126
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	38	55.68	80.28	7175548.131578947	6128762	8121100	6578.605263157895	72.21342105263159	2.973684210526316	-0.02228463651264476	74.18242133450504	0.0007494350930432598	0.8704011539433151	0.1356202350508288
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	14	63.14	72.87	5133427.428571428	4859997	5484531	4959.428571428572	66.75071428571428	3.2142857142857144	0.3178319298863768	37.00218799322879	0.18260298295578833	0.1275052893891992	0.19411964672971077
Proteobacteria	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	12	38.75	49.45	3658763.5	3233679	3953441	3629.0833333333335	47.31916666666667	0.25	-0.1250749262717922	58.89438873292298	0.06821312271211703	0.41224499169905837	0.14618223067486277
Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	105	55.23	79.66	1729272.5904761904	1385271	2369520	1542.152380952381	68.88714285714289	0.12380952380952381	-0.32378186433005607	92.51670088067702	0.3378376752668742	7.98026363348179e-11	0.044664461322221155
Proteobacteria	Oligoflexia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	13	42.64	65.21	3798915.769230769	3006992	4125324	3708.153846153846	50.690769230769234	0.3076923076923077	-0.4463893411686835	91.79773458384805	0.18392954107080742	0.14366168012672578	0.28350162877779767
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas	20	65.79	77.9	4098370.1	3879453	4403499	4056.15	74.29749999999999	0.25	-0.4451593836938185	115.72882331505407	0.11144571127259761	0.1502988770507685	0.2962713002311747
Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	200	60.15	87.81	4353893.665	3430792	5878756	4233.905	78.18679999999998	0.205	0.08303770959583043	72.03690437981444	0.0167034550186417	0.0681586479524541	0.0452774403583448
Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	35	67.22	83.7	5755822.714285715	4349606	6639129	5542.314285714286	75.81199999999998	0.34285714285714286	0.10836416705281683	66.41731985238945	0.06401182819559721	0.1425336037591299	0.07213296631088538
Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	140	54.01	77.4	8515944.557142857	6793945	10475157	8173.685714285714	65.19607142857144	0.5714285714285714	-0.2850446653214476	88.36922831955444	0.16893937122685462	4.548651564684987e-07	0.0538175956899504
Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Brenneria	11	70.72	81.85	4658053.7272727275	3907359	5377659	4385.181818181818	76.74	0.9090909090909091	0.12332994215587362	66.0573312635945	0.16123396777908383	0.2209262902417789	0.09376471102116238
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	62	34.09	80.56	3202024.290322581	2533966	3688628	3212.8064516129034	69.93516129032258	0.1774193548387097	-0.17161298145588402	84.83254143156802	0.0369019594795036	0.13471239486791026	0.1131840023250576
Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	381	53.73	85.12	3293650.2624671916	3238137	3352940	3215.742782152231	75.51992125984252	0.13123359580052493	1.089323704290676	-31.486207825339974	0.033018864477360306	0.0003639613553826395	0.3028065625954772
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	792	52.87	81.67	7254327.428030303	6294588	8259555	6341.328282828283	70.28444444444442	0.45707070707070707	-0.09019773963436431	78.20646853140681	0.021559630816381646	3.351073615424923e-05	0.021618652967159976
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	13	72.65	83.66	4975525.615384615	4301460	5498356	4745.846153846154	77.12153846153845	0.5384615384615384	-0.4292337058182132	115.96339043119963	0.5626424861905706	0.003144887426312545	0.11410364278713724
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	35	65.47	76.17	9003918.485714287	6165668	11742332	8477.342857142858	68.86571428571429	1.3714285714285714	-0.10419977962851738	76.8556631476998	0.39124323837432445	5.873293180876306e-05	0.02262602731541156
Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	721	40.82	84.23	1703232.1525658807	1465081	1954904	1827.7725381414702	67.1639944521498	0.4895977808599168	-0.45908077918338747	107.16192497611121	0.217688809010251	2.966974420853978e-40	0.03245610387726206
Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	25	59.44	85.5	1319016.6	1115049	1456888	1433.8	74.15839999999999	0.04	0.2852543755630344	48.33244381185948	0.12945503326353502	0.07729521852115082	0.154242668770442
Proteobacteria	Gammaproteobacteria	unclassified	unclassified	Candidatus Thioglobus	12	58.55	78.55	1421321.5	1023462	1874587	1538.75	71.63083333333334	0.25	-0.0599232363456701	76.17424391751439	0.029169745654025168	0.5956165081853582	0.10932024356045807
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	45	62.2	81.04	4905557.955555555	2223773	5994497	4606.022222222222	71.39711111111112	0.4222222222222222	-0.10017371723610409	79.5947626492659	0.06335314613814336	0.09533193961641978	0.05873857521488738
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	15	63.21	81.21	4271689.0	3859742	4969388	4221.4	70.17	1.0	-0.1687021079497726	84.67164363913335	0.07342788891446664	0.32862868571310966	0.1662102964215938
Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	45	65.24	81.3	4857985.311111111	4377894	5334273	4671.288888888889	73.5222222222222	3.577777777777778	0.08480031137632954	65.7993578873099	0.005144125650027762	0.6396456757138804	0.17984050749732292
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	173	66.87	83.82	5133544.398843931	4498513	5763242	5055.884393063584	75.69797687861275	0.5433526011560693	-0.4238963909584839	113.4560814922153	0.27809215403282744	9.049235799575133e-14	0.05222857500077001
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Citromicrobium	16	58.61	66.57	3186332.25	2784619	3413560	3167.625	63.79875	0.0625	0.12349145962603562	52.27163987432446	0.04699965168494237	0.41995869086433824	0.14861824072502913
Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	15	61.93	74.49	5338333.533333333	4709377	5945709	5036.466666666666	70.92	0.4	0.028809075423902843	68.33338747994983	0.0029809760789819614	0.8467583063130294	0.14612688330801968
Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	28	57.19	79.02	4602888.892857143	3748312	5723506	4062.964285714286	66.99035714285716	0.8571428571428571	-0.34950948508310004	95.09818697368496	0.21651952982171366	0.01258945568207403	0.1303880655765138
Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	55	65.02	81.47	5031224.818181818	3362256	6062703	4675.527272727273	72.13745454545453	0.5454545454545454	-0.12680721444716223	82.66074101439533	0.1877131198518281	0.0009527890757928825	0.03623376248613401
Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	46	36.26	70.74	2020874.6739130435	1932865	2130797	2166.891304347826	61.04369565217389	0.021739130434782608	0.05518047567968688	55.81030993802311	0.00017352329966521915	0.9307610240774515	0.6314551645363631
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	91	54.1	82.32	4511463.659340659	4268675	4759787	4397.714285714285	74.41164835164835	3.010989010989011	-0.6551624966611691	136.50984296938563	0.056372614459670956	0.02344351912987279	0.2841320374127002
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	97	64.84	84.07	6788165.618556701	5791022	7968737	6266.453608247422	77.2844329896907	0.3917525773195876	-0.2503747433223262	98.61259608976007	0.09536269156835869	0.002086940678966524	0.07911825709840951
Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus	14	50.86	76.78	2322019.8571428573	1916434	2655425	2362.1428571428573	69.67071428571428	0.7857142857142857	0.5653141607293558	20.237169495798803	0.2852306434416107	0.04915792032460674	0.25833551363054597
Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	25	43.88	79.65	6651607.36	5978913	7195716	6214.16	70.29519999999998	2.0	-0.6614450568970061	131.4381468407556	0.09796763416905872	0.1276482605568301	0.41850399436794034
Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	66	47.99	79.35	3765379.4696969697	2655841	5128906	3424.409090909091	62.42227272727273	1.893939393939394	-0.085987074717909	68.7350022996633	0.029715854850585435	0.16633606339877852	0.06141840597505197
Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	33	66.4	82.82	4130507.757575758	3353577	5052234	4087.969696969697	73.58060606060607	0.45454545454545453	-0.03130567051022348	76.1400345213343	0.004752056169358282	0.7030643872786945	0.08137050754891562
Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Dickeya	64	70.75	84.31	4792367.921875	4325747	5110316	4351.734375	77.05437500000001	4.328125	0.34807155253591415	44.41281344313456	0.10828961735674	0.007928588216771412	0.12685020918906073
Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	27	63.27	79.93	6501682.37037037	6108407	7061117	5833.851851851852	68.40222222222224	0.6666666666666666	0.23164652257349688	47.07284739422112	0.03714656843210867	0.33546714438045777	0.23587207189428355
Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	20	64.2	80.0	4807064.1	3832236	5396991	4245.85	70.38750000000002	0.6	-0.005646970115962394	70.89047188411499	9.040814178163749e-05	0.9682644073461615	0.13997672641916506
Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Edwardsiella	45	55.46	83.04	3773285.9777777777	3576228	4014644	3595.4	76.84577777777778	0.6666666666666666	-0.09326829584366324	85.61188388527134	0.0014615074888249039	0.8031079420132758	0.3717762965106923
Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	22	52.76	71.79	1252069.9545454546	1005812	1516355	996.4090909090909	61.41454545454546	0.09090909090909091	0.15312351609331945	48.77097888637359	0.11526806922709679	0.12214611164956732	0.09485893330462641
Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	22	50.73	75.0	2158511.0	1827546	2545600	2201.818181818182	63.76181818181819	0.36363636363636365	0.13005293934431397	52.73413511468137	0.043510879758291994	0.35155357770598106	0.1363472111592315
Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	49	68.45	83.57	6977757.0	5190151	8258323	6680.734693877551	73.90040816326531	0.3877551020408163	-0.03295882703495227	76.68521914795222	0.006296152260464086	0.5878494765745332	0.06039676717711215
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	441	6.0	85.59	4936976.93197279	4367584	5533586	4838.369614512471	75.60204081632656	0.6870748299319728	-0.4959628268992301	119.85105105159735	0.13576761909109233	1.2543146343653667e-15	0.05972195731889137
Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Enterovibrio	19	30.68	78.99	5424426.105263158	5001645	5697426	5157.8421052631575	69.92631578947366	0.5789473684210527	1.3948427948506348	-62.87438524860926	0.1551230272045105	0.09522403611338949	0.7895132151885504
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Epibacterium	46	62.69	77.8	4805345.760869565	4677362	4942296	4673.586956521739	68.68739130434781	0.0	-0.7319162556705798	139.8508885230119	0.1080334681604272	0.0257298429310651	0.3170517648643764
Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	63	46.72	80.41	4261982.571428572	3766860	5734753	4111.888888888889	72.43412698412696	2.5396825396825395	0.009095515912096746	71.75816185894185	0.0003065157878139302	0.8916711706112358	0.06650731679830618
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	43	55.02	79.45	3044185.976744186	2552891	3602162	2999.953488372093	67.39348837209303	0.11627906976744186	-0.13925425304691888	79.16186093077908	0.025602455724026817	0.3053891790413689	0.1341664158930806
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	3416	46.99	79.87	5104306.218384075	4440297	5766081	5092.083430913349	70.66964578454338	1.760831381733021	-0.5360261358792985	118.12027193053557	0.34750041656827235	7.12897e-319	0.01257090840487266
Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	141	47.21	82.46	1868897.0283687944	1779799	1945310	2008.6666666666667	60.76893617021277	0.2198581560283688	0.7643317217983591	-12.66189406028812	0.02925340204787359	0.04257739039820107	0.37345582075025247
Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Gallibacterium	37	71.09	90.2	2481104.4054054054	2242179	2717421	2426.108108108108	82.92135135135136	2.6486486486486487	-0.4834317306487237	127.0604301553095	0.2720538585336549	0.0009309644853481455	0.1336667256497892
Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	25	29.81	78.19	4208125.96	3571247	5277406	3928.72	60.431599999999996	1.48	-0.1207264345814621	70.05814841072475	0.02230851270463795	0.4761051965155859	0.16664951924826454
Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	70	65.64	83.81	2711199.4285714286	2180622	3537173	2571.7428571428572	76.68114285714287	6.357142857142857	-0.17650214848894083	90.20981459937447	0.08907019287096785	0.012090345126050285	0.0684497395670182
Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	11	59.49	79.42	4126321.8181818184	2523039	5393591	3689.090909090909	66.74636363636364	0.2727272727272727	-0.2427778036886203	85.31987705869426	0.358055686157974	0.051799666347743877	0.10835803334900054
Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Glaesserella	31	63.58	83.64	2272440.64516129	2090833	2481990	2295.7096774193546	74.51516129032258	1.2258064516129032	0.19813972227911586	56.37404233625617	0.016738791602838428	0.4878886717887032	0.28199730159486125
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	34	59.52	77.81	3198983.9411764704	2734642	3715361	3079.8823529411766	66.8323529411765	1.1764705882352942	-0.16620720425017863	81.14305322855526	0.12309984277613689	0.04190228501134118	0.07841897836169848
Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	176	51.89	88.19	1867080.6875	1615658	2146054	1891.028409090909	78.65352272727272	0.38636363636363635	0.2059200996083402	60.738342533912814	0.026339971140447296	0.03139379072901516	0.09491178448373834
Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	33	67.18	83.06	4751167.454545454	4498956	4998224	4548.181818181818	77.93242424242426	2.1818181818181817	-0.7229445014755171	146.65344168488113	0.32506209205912506	0.0005323942681460966	0.1870996001981153
Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	134	11.54	88.99	4099383.223880597	2245055	5643878	3956.194029850746	74.73216417910446	1.171641791044776	0.18132520737041438	61.56176054598295	0.041141167070378064	0.018750730508045915	0.07619215376229566
Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	550	38.66	75.92	1630806.6127272728	1527988	1735193	1645.1327272727274	61.91536363636363	0.52	-0.254596050991535	85.84336032210666	0.014093165530613119	0.005309436645415373	0.09096515125324717
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Henriciella	11	67.61	78.48	3609849.727272727	3203764	4335829	3595.818181818182	75.06272727272727	0.0	0.25535580044639233	53.80275446017128	0.27717629429380847	0.09616007990403527	0.13745565896342932
Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	39	68.8	84.8	5458801.641025641	4573585	6495402	4968.666666666667	76.2502564102564	0.3333333333333333	-0.26025571194392216	98.12241008828555	0.20987729996226043	0.00335920838859929	0.08301640897614147
Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Histophilus	24	73.04	83.62	2198281.4166666665	2012878	2368610	2115.2083333333335	77.36541666666668	0.041666666666666664	-0.07698375345057581	84.51019586609794	0.006953404946562077	0.6984752228751594	0.19614344268812284
Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	18	68.97	84.29	4951940.611111111	4499155	5541332	4749.5	75.63	0.5	-0.6695414743137873	135.46271923569367	0.48797837427984	0.0012605435346267266	0.17145942270176162
Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	14	59.27	74.68	3997352.214285714	2954375	4757528	3912.214285714286	64.20642857142857	1.0	0.07276280981498891	58.092779236488326	0.02598719670425102	0.5819340702623117	0.12859422174020624
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonas	24	59.95	70.95	3593447.2083333335	2963843	4280175	3541.0833333333335	67.8125	0.08333333333333333	0.06858784672673876	62.05416520420791	0.04971936237065777	0.2949562631601977	0.0639291592993994
Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	46	62.15	84.62	2686700.8913043477	2153521	3102721	2604.021739130435	72.32891304347827	0.17391304347826086	-0.2270317313131741	91.98799147410332	0.132349630714757	0.012943707499062188	0.08763371721689518
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	12	56.77	74.59	3984228.6666666665	3479020	4842958	4025.6666666666665	67.24583333333334	0.8333333333333334	0.025601173760934976	65.13966329430694	0.003289759125563907	0.8594667355533304	0.14091664260133385
Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	51	61.82	78.81	6284825.137254902	5844062	6760367	5678.705882352941	70.43470588235294	0.43137254901960786	-0.36867228275644326	104.70859707904154	0.06703544466130937	0.0665672610753108	0.19648200129986101
Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	34	44.03	78.8	2005991.4117647058	1804177	2405975	2169.823529411765	66.26235294117649	0.8235294117647058	-0.2421266892045785	86.44976382879612	0.04309650779578809	0.23875722819389242	0.20168829951218295
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	1125	40.22	84.98	5586817.128	4963246	6200275	5465.181333333333	75.28735999999992	0.5768888888888889	-0.36484193192711667	108.16179144542824	0.15434175090551458	7.947897398424611e-43	0.0254841763698826
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	38	58.47	78.24	3636564.1052631577	3329793	4181473	3503.7894736842104	70.07999999999998	0.7105263157894737	-0.5560514837966724	118.43896026719045	0.3391176247634393	0.00012524952722083984	0.12937508786782334
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	25	43.47	82.02	5097869.64	4685999	5783769	4997.96	74.6928	0.36	0.06545474408036643	68.92355588528397	0.0027149473702434766	0.8046330468350461	0.2615809775988122
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Labrenzia	21	60.35	82.78	6363713.428571428	5142828	7393951	5977.571428571428	72.55999999999999	0.2857142857142857	-0.0166497542064724	73.99298575316692	0.0011629077719557566	0.8833329665868461	0.11194526285710718
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia	21	69.64	81.15	5098631.476190476	4648770	5411940	5013.285714285715	76.11714285714285	1.4761904761904763	-0.40629786588410993	114.39478613673833	0.29002809294076215	0.011777993076378957	0.14583719057703146
Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	360	41.65	72.1	3460252.136111111	3126774	3785576	3163.947222222222	60.45088888888891	0.5555555555555556	-0.21257735009760464	79.88178209415213	0.023298406729491964	0.003695324457917994	0.07274335251369478
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera	16	63.69	77.35	4833912.25	4537012	5347234	4713.25	70.86875	0.3125	-0.14122364679044952	83.63540124829075	0.06160672179682891	0.3539716441297347	0.14730646186176213
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lelliottia	16	76.26	84.74	4664862.4375	4370208	4981029	4575.125	79.97749999999999	0.375	0.03137033406033661	77.03958711071766	0.002647274923486718	0.8499076518530723	0.16273463421727513
Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	15	60.27	74.0	1221716.9333333333	1176071	1312416	1136.9333333333334	67.53133333333334	0.4	-0.2779898219443948	93.4091702969017	0.033874581298272845	0.5114188414030404	0.41175322132365194
Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	11	69.97	86.72	3082076.909090909	2354010	3945826	3041.818181818182	77.74454545454546	0.18181818181818182	-0.12026839817062179	87.13868632378359	0.04274660310238809	0.5418849835279165	0.1897111801420524
